ts_ms,ax,ay,az,qr,qi,qj,qk,gy,gp,gr
7268.6,2.4257812,-4.0781250,-7.2226562,0.7374878,0.1469727,-0.6528320,0.0913086,-0.2148438,-8.2460938,5.1757812
7270.3,2.3867188,-3.8593750,-6.8554688,0.7239990,0.1399536,-0.6684570,0.0972900,-0.3105469,-7.5664062,4.2480469
7275.2,1.4414062,-3.5390625,-6.0390625,0.7106323,0.1336060,-0.6832275,0.1018677,-0.4921875,-6.7851562,3.3437500
7281.2,0.7890625,-3.0585938,-5.2539062,0.6982422,0.1281738,-0.6964111,0.1047363,-0.7265625,-5.9414062,2.4960938
7286.2,0.3867188,-2.7382812,-4.5273438,0.6882324,0.1237793,-0.7069702,0.1057739,-1.0332031,-5.1074219,1.7500000
7290.1,-0.0351562,-2.2265625,-4.1992188,0.6804199,0.1201782,-0.7152100,0.1052856,-1.3652344,-4.3691406,1.0761719
7295.8,-0.3203125,-1.9375000,-4.2187500,0.6730347,0.1166382,-0.7230225,0.1032715,-1.6289062,-3.7382812,0.4589844
7301.0,-0.5976562,-1.5664062,-4.3125000,0.6668091,0.1137695,-0.7296753,0.0997925,-1.7812500,-3.2128906,-0.1191406
7306.2,-0.7148438,-1.2343750,-4.4570312,0.6619263,0.1118164,-0.7349854,0.0955200,-1.8125000,-2.7363281,-0.6621094
7310.7,-0.1835938,-0.8945312,-5.3671875,0.6581421,0.1108398,-0.7391357,0.0907593,-1.7050781,-2.2597656,-1.1406250
7316.0,0.5000000,-1.1171875,-5.7578125,0.6549072,0.1109009,-0.7426758,0.0850830,-1.4550781,-1.6972656,-1.5683594
7321.0,1.2343750,-1.3789062,-6.3320312,0.6530151,0.1120605,-0.7447510,0.0798950,-1.0976562,-1.0859375,-1.9531250
7326.2,1.9296875,-1.7890625,-6.8281250,0.6521606,0.1144409,-0.7456665,0.0748291,-0.6777344,-0.4687500,-2.3027344
7340.9,3.4687500,-1.2265625,-8.4414062,0.6549683,0.1290283,-0.7420044,0.0619507,0.5625000,0.8945312,-3.1933594
7350.2,3.9726562,0.0117188,-9.3242188,0.6572266,0.1361694,-0.7390137,0.0584106,0.8984375,1.2792969,-3.4140625
7354.4,3.9609375,-0.2460938,-9.5078125,0.6599731,0.1438599,-0.7352905,0.0553589,1.1933594,1.6875000,-3.6464844
7357.7,4.1484375,-0.3085938,-9.9921875,0.6635132,0.1527710,-0.7305298,0.0523071,1.4101562,2.0800781,-3.9199219
7366.5,4.3242188,-0.6640625,-10.5664062,0.6674805,0.1620483,-0.7250977,0.0492554,1.5058594,2.7753906,-4.6269531
7370.3,3.8203125,-1.3710938,-10.9375000,0.6770630,0.1826782,-0.7116699,0.0416870,1.3906250,3.1269531,-5.0488281
7375.0,3.0859375,-2.1406250,-11.0585938,0.6831055,0.1890869,-0.7046509,0.0324097,1.2558594,3.6074219,-5.5097656
7381.2,1.8593750,-3.0625000,-11.0859375,0.6905518,0.1973267,-0.6954956,0.0219116,1.1191406,4.2773438,-6.0039062
7386.4,0.4492188,-4.1132812,-10.9804688,0.6985474,0.2056885,-0.6853027,0.0109863,0.9667969,5.0214844,-6.5585938
7401.1,-6.8164062,-7.8437500,-8.3320312,0.7283936,0.2427979,-0.6404419,-0.0187378,0.5058594,7.9218750,-8.8144531
7410.4,-13.1523438,-8.1445312,-7.1328125,0.7406616,0.2550659,-0.6206665,-0.0335693,0.4121094,9.1074219,-9.7792969
7416.5,-15.3710938,-8.4023438,-7.6562500,0.7540283,0.2720947,-0.5961304,-0.0454102,0.5371094,11.7695312,-11.8964844
7420.7,-18.1953125,-7.9882812,-8.1718750,0.7835693,0.3121338,-0.5322266,-0.0729370,0.7285156,13.0605469,-13.0078125
7426.0,-21.0703125,-7.2226562,-8.7382812,0.7969971,0.3327637,-0.4965210,-0.0866699,1.0214844,14.2421875,-14.0996094
7441.4,-28.8750000,-3.0390625,-11.5585938,0.8213501,0.3804321,-0.4085083,-0.1173706,2.3398438,16.6816406,-16.8183594
7449.9,-31.9257812,0.8828125,-12.8750000,0.8352661,0.4313354,-0.3067017,-0.1490479,2.8691406,17.0546875,-17.5136719
7454.9,-31.5078125,2.4414062,-13.1093750,0.8368530,0.4564819,-0.2534180,-0.1645508,3.3710938,17.2050781,-18.0273438
7457.4,-31.0507812,3.0390625,-12.9726562,0.8346558,0.4810181,-0.1989136,-0.1799316,3.7656250,17.0664062,-18.3046875
7460.9,-29.9179688,2.8593750,-12.9023438,0.8286743,0.5043335,-0.1441040,-0.1951904,3.9960938,16.6347656,-18.3027344
7465.8,-29.4726562,4.1718750,-12.0898438,0.8189087,0.5265503,-0.0881348,-0.2105103,4.0507812,16.0019531,-17.9531250
7469.7,-28.4414062,5.7304688,-11.1367188,0.8067017,0.5455933,-0.0358887,-0.2243042,3.9785156,15.2988281,-17.2187500
7475.0,-26.3281250,6.8046875,-8.6054688,0.7924194,0.5620728,0.0139771,-0.2366333,3.7597656,14.5527344,-16.1914062
7481.4,-24.1757812,6.5507812,-6.7929688,0.7753296,0.5770874,0.0652466,-0.2482300,3.3320312,13.6171875,-14.8867188
7486.2,-21.8476562,6.0937500,-5.0078125,0.7595215,0.5878296,0.1081543,-0.2567749,2.6933594,12.5000000,-13.3964844
7490.0,-19.0898438,5.3046875,-3.3906250,0.7449951,0.5953979,0.1455688,-0.2632446,1.8652344,11.1796875,-11.7539062
7495.0,-13.9531250,1.9687500,-1.3828125,0.7316284,0.6004028,0.1796875,-0.2681274,0.9003906,9.7324219,-9.9785156
7501.4,-11.1523438,0.5859375,-0.1953125,0.7201538,0.6027222,0.2108154,-0.2714844,-0.2363281,8.0742188,-8.1152344
7506.2,-8.3125000,-0.4882812,0.3828125,0.7124634,0.6020508,0.2354126,-0.2729492,-1.4511719,6.3007812,-6.1640625
7509.8,-5.8437500,-1.0585938,0.6757812,0.7090454,0.5992432,0.2525635,-0.2727051,-2.6601562,4.5703125,-4.1386719
7515.0,-1.7343750,-0.9648438,1.8085938,0.7093506,0.5941162,0.2658691,-0.2705078,-3.7910156,2.9667969,-2.1289062
7521.4,-0.1054688,-0.5820312,2.4726562,0.7136841,0.5867310,0.2750854,-0.2660522,-4.7480469,1.5800781,-0.2382812
7526.2,1.0703125,-0.6289062,3.0976562,0.7209473,0.5784912,0.2794189,-0.2597656,-5.4941406,0.4453125,1.4218750
7530.0,1.8281250,-0.9140625,3.5117188,0.7297974,0.5703125,0.2799072,-0.2525635,-5.9687500,-0.4863281,2.8691406
7535.0,3.0429688,-1.3125000,4.0312500,0.7410278,0.5611572,0.2770996,-0.2432861,-6.1738281,-1.2656250,4.0429688
7541.4,3.4179688,-1.4414062,4.1601562,0.7542725,0.5510864,0.2712402,-0.2319946,-6.1718750,-1.8183594,4.9023438
7546.2,3.8203125,-1.6289062,4.2617188,0.7670898,0.5416870,0.2636719,-0.2205200,-6.0078125,-2.1367188,5.4609375
7549.8,4.2968750,-1.7148438,4.0742188,0.7784424,0.5335693,0.2557373,-0.2097168,-5.7402344,-2.2070312,5.7890625
7555.0,4.8085938,-1.3750000,3.9765625,0.7900391,0.5253296,0.2467041,-0.1976318,-5.4394531,-2.0468750,5.9257812
7561.4,4.7929688,-1.1914062,3.7656250,0.8016357,0.5169678,0.2370605,-0.1842041,-5.0664062,-1.6894531,5.8964844
7566.0,4.9687500,-0.9257812,3.4609375,0.8113403,0.5099487,0.2287598,-0.1714478,-4.6445312,-1.2187500,5.7246094
7569.8,5.2695312,-0.5781250,3.0546875,0.8193970,0.5039062,0.2218628,-0.1593628,-4.2539062,-0.7460938,5.4531250
7575.2,5.8085938,-0.0195312,2.6875000,0.8267822,0.4982910,0.2156982,-0.1470337,-3.9121094,-0.3300781,5.1191406
7581.6,5.6835938,0.0000000,2.4882812,0.8337402,0.4926758,0.2101440,-0.1340942,-3.6386719,0.0039062,4.7343750
7586.0,5.5117188,-0.0585938,2.4960938,0.8392944,0.4878540,0.2061157,-0.1227417,-3.3828125,0.3632812,4.3164062
7589.8,5.2265625,0.0898438,2.6367188,0.8440552,0.4833984,0.2032471,-0.1123047,-3.2187500,0.6191406,3.8886719
7595.2,5.1835938,0.5039062,2.9101562,0.8485107,0.4787598,0.2010498,-0.1021729,-3.1933594,0.7070312,3.5078125
7601.6,5.1796875,0.5546875,2.6171875,0.8531494,0.4733276,0.1990967,-0.0918579,-3.2753906,0.6464844,3.1855469
7606.2,5.3007812,0.2148438,2.3203125,0.8575439,0.4677734,0.1973267,-0.0830078,-3.4687500,0.3730469,2.9257812
7609.8,5.4257812,-0.7343750,2.2343750,0.8618164,0.4620361,0.1951294,-0.0756836,-3.7304688,-0.1308594,2.7460938
7615.0,5.6562500,-3.8046875,1.7500000,0.8669434,0.4549561,0.1916504,-0.0686035,-4.0566406,-0.8867188,2.6562500
7621.4,5.6875000,-5.2265625,1.1562500,0.8732910,0.4461670,0.1857910,-0.0618286,-4.4433594,-1.9335938,2.6933594
7626.0,5.7968750,-6.4570312,0.4140625,0.8800659,0.4368286,0.1776123,-0.0564575,-4.9355469,-3.2988281,2.8906250
7629.8,5.9140625,-7.2148438,-0.5234375,0.8874512,0.4266357,0.1664429,-0.0520630,-5.4804688,-4.9296875,3.2480469
7635.2,6.1562500,-8.0859375,-2.7343750,0.8961792,0.4146118,0.1505127,-0.0481567,-6.0488281,-6.7929688,3.7656250
7641.4,5.7851562,-8.1796875,-3.9453125,0.9064331,0.4000244,0.1279907,-0.0443726,-6.5156250,-8.7753906,4.4042969
7646.0,5.2812500,-8.2382812,-5.1210938,0.9160767,0.3854980,0.1022339,-0.0412598,-6.7890625,-10.6972656,5.0585938
7649.8,4.6875000,-8.2460938,-6.0546875,0.9251709,0.3706055,0.0725708,-0.0385132,-6.8652344,-12.5175781,5.6796875
7655.2,3.8593750,-8.3203125,-7.2187500,0.9335938,0.3545532,0.0371704,-0.0358276,-6.7773438,-14.1875000,6.2343750
7661.4,2.7265625,-8.1796875,-7.8515625,0.9410400,0.3366699,-0.0057983,-0.0330811,-6.6171875,-15.6582031,6.7304688
7666.0,1.6093750,-7.9687500,-8.2656250,0.9457397,0.3198853,-0.0487061,-0.0305176,-6.4179688,-16.9121094,7.1679688
