SECONDS,ax,ay,az,qr,qi,qj,qk,gy,gp,gr
30.0418,-0.0156250,0.0117188,0.0156250,0.7650146,-0.0042725,-0.0294189,-0.6433716,0.0000000,0.0000000,0.0000000
30.1418,0.3437500,-0.1484375,-0.0117188,0.7592163,-0.0040894,-0.0291138,-0.6502075,0.0000000,0.0058594,-0.1914062
30.2409,-0.0468750,0.0156250,0.0078125,0.7592163,-0.0041504,-0.0289307,-0.6501465,0.0000000,0.0039062,0.0000000
30.3408,-0.0039062,-0.0039062,-0.0039062,0.7592163,-0.0043335,-0.0287476,-0.6501465,-0.0019531,0.0000000,0.0000000
30.4408,-0.0039062,-0.0156250,0.0078125,0.7592773,-0.0044556,-0.0286255,-0.6501465,0.0000000,0.0000000,0.0000000
30.5418,-0.0507812,0.0351562,-0.0039062,0.7592773,-0.0045166,-0.0285645,-0.6501465,0.0000000,-0.0058594,0.0000000
30.6409,0.1132812,-0.5117188,0.1367188,0.7598877,-0.0045166,-0.0279541,-0.6494141,0.0000000,0.0000000,-0.0722656
30.7409,-0.5742188,1.3515625,0.2929688,0.7420654,-0.0057983,-0.0216064,-0.6699829,-0.0761719,0.0859375,-1.0175781
30.8409,2.1523438,-2.7578125,0.7617188,0.7530518,-0.0899048,0.0026245,-0.6517944,-2.0195312,-1.0859375,1.0195312
30.9409,-2.3945312,1.9023438,-3.8242188,0.6920166,0.0342407,0.0217896,-0.7207031,1.9453125,1.3789062,-0.5468750
31.0409,-0.9296875,-0.1210938,6.3085938,0.6788940,0.0559082,0.0309448,-0.7314453,0.6523438,0.1562500,0.1933594
31.1408,-2.3320312,0.0820312,2.4687500,0.6787720,0.0402222,-0.0195312,-0.7329712,0.2031250,-0.9316406,0.8339844
31.2409,-2.7812500,-0.9882812,-6.8320312,0.6789551,0.0056152,-0.0928955,-0.7282715,0.6054688,-1.5019531,0.6113281
31.3409,-0.8046875,-0.3203125,-9.7421875,0.6796875,-0.0001221,-0.1046753,-0.7260132,0.3417969,-0.1269531,0.0839844
31.4409,0.3710938,0.0390625,-1.7109375,0.6759033,0.0183716,-0.0355225,-0.7359009,-1.0156250,1.4042969,-0.1464844
31.5409,0.4687500,0.8554688,10.7929688,0.6690674,0.0229492,0.0279541,-0.7423096,-0.4570312,1.0468750,-0.1562500
31.6409,0.5742188,-1.5859375,12.4140625,0.6777344,-0.0076904,0.0213013,-0.7349243,-0.4843750,-0.9609375,0.2753906
31.7409,-2.3281250,-0.8632812,-1.9648438,0.6858521,-0.0293579,-0.0715942,-0.7236328,1.1093750,-1.4902344,0.4160156
31.8409,-2.5859375,-1.4023438,-8.0390625,0.6832275,-0.0532227,-0.1397705,-0.7147217,0.4707031,-1.2382812,-0.0527344
31.9399,-1.9492188,-0.7109375,-11.5156250,0.6814575,-0.0401001,-0.1397095,-0.7172852,0.1835938,0.2246094,-0.1757812
32.0399,-0.7031250,-0.0703125,4.8007812,0.6818848,-0.0095215,-0.0529175,-0.7294922,-0.9902344,1.7167969,-0.1777344
32.1399,0.6171875,0.5000000,15.1875000,0.6798706,0.0236206,0.0305786,-0.7322998,-0.7285156,1.7871094,-0.0996094
32.2399,-1.1953125,-0.1171875,2.9335938,0.6840820,0.0138550,-0.0113525,-0.7291870,0.8339844,-1.1289062,-0.0605469
32.3399,-1.9375000,-0.4921875,-1.6250000,0.6924438,-0.0210571,-0.0972900,-0.7145386,0.6484375,-2.1835938,0.2050781
32.4399,-3.0546875,-1.3007812,-7.8906250,0.6882324,-0.0452881,-0.1518555,-0.7080078,0.1250000,-1.3359375,-0.1386719
32.5399,-1.5312500,-1.2812500,-9.1835938,0.6892090,-0.0284424,-0.1457520,-0.7091675,0.0703125,0.4980469,-0.0820312
32.6399,0.1406250,-0.1679688,0.8359375,0.6862793,-0.0025635,-0.0629883,-0.7246094,-0.9472656,1.8730469,-0.3222656
32.7399,-0.0039062,1.1953125,7.7695312,0.6807861,0.0319824,0.0087280,-0.7317505,-0.3671875,1.6562500,-0.2714844
32.8399,-0.1640625,1.1601562,2.9257812,0.6795654,0.0386963,0.0140991,-0.7324219,0.0761719,-0.1718750,-0.1093750
32.9399,0.7187500,2.2226562,-0.1562500,0.6867065,0.0280762,-0.0025024,-0.7263794,-0.1289062,-0.7714844,0.0878906
33.0399,1.0742188,3.0781250,-0.5156250,0.6989136,0.0087891,-0.0177002,-0.7149048,-0.1347656,-0.6445312,0.2656250
33.1399,0.7656250,0.1796875,-1.8710938,0.7113037,-0.0018921,-0.0218506,-0.7025146,0.2167969,-0.3867188,0.2109375
33.2399,-2.2421875,-2.2812500,-1.1328125,0.7167358,0.0028687,-0.0165405,-0.6971436,0.5546875,0.2480469,0.2871094
33.3399,-0.8007812,-2.4218750,0.1679688,0.7173462,0.0004272,-0.0044556,-0.6967163,-0.0507812,0.5371094,0.1835938
33.4399,-0.2460938,-1.2070312,0.1289062,0.7194214,0.0033569,-0.0023193,-0.6945801,-0.0410156,0.3652344,0.1171875
33.5399,0.4335938,-0.4375000,0.5898438,0.7209473,0.0108643,-0.0076294,-0.6928711,0.3300781,0.2148438,0.0761719
33.6398,-0.2695312,-0.7031250,0.6796875,0.7192383,0.0279541,-0.0120850,-0.6940918,0.3085938,0.2656250,-0.0957031
33.7389,-0.8125000,0.3359375,-0.7226562,0.7179565,0.0378418,-0.0187378,-0.6947632,0.1250000,-0.0605469,-0.0781250
33.8389,2.3710938,-0.4765625,0.9062500,0.7186279,0.0391846,-0.0170898,-0.6940918,-0.0019531,0.0312500,-0.0566406
33.9389,-0.2265625,0.4375000,-0.2226562,0.7010498,0.0481567,-0.0376587,-0.7105103,0.5351562,-0.3808594,-0.5253906
34.0389,-0.4062500,0.0351562,0.4062500,0.6826172,0.0468140,-0.0503540,-0.7275391,-0.0937500,-0.3261719,-0.6816406
34.1389,0.5468750,0.2617188,0.5585938,0.6402588,0.0473022,-0.0809326,-0.7623901,0.1503906,-0.9960938,-1.5683594
34.2389,-1.1757812,0.3046875,0.1523438,0.5982666,0.0548706,-0.0839233,-0.7949829,0.2460938,0.6621094,-0.8417969
34.3389,0.7968750,-0.7109375,-1.0585938,0.5291138,0.0307617,-0.0897827,-0.8432007,-0.0976562,-0.0468750,-1.5429688
34.4389,1.0429688,-0.8593750,-0.9648438,0.4112549,0.0197754,-0.0724487,-0.9084473,-1.1640625,-0.5878906,-3.1132812
34.5389,0.1953125,1.3476562,-0.1523438,0.2699585,0.0337524,-0.0846558,-0.9585571,0.3320312,-0.2773438,-3.0839844
34.6389,0.2929688,0.0937500,-1.5820312,0.1522217,0.0490112,-0.0761108,-0.9841919,0.4492188,0.1875000,-1.9023438
34.7389,0.6640625,-0.6250000,0.2539062,0.0706177,0.0845947,-0.0217285,-0.9936523,-1.2050781,0.5546875,-1.0839844
34.8389,-0.3125000,2.4414062,0.6835938,0.0422974,-0.0842285,-0.0009155,0.9955444,-0.3222656,-0.3164062,-2.4941406
34.9389,0.3710938,0.8125000,-0.0703125,0.1348267,-0.0993042,-0.0258179,0.9855347,-0.0449219,0.1718750,-1.3027344
35.0389,0.6093750,-0.7226562,-0.3476562,0.2289429,-0.1140747,-0.0578003,0.9650269,-0.5429688,0.1875000,-1.7343750
35.1389,0.1953125,-1.8984375,-0.4648438,0.3358765,-0.1047363,-0.0451660,0.9349976,0.6406250,-0.0136719,-2.5292969
35.2389,-0.0703125,-0.6093750,-0.6367188,0.4277344,-0.0834961,-0.0035400,0.9000244,1.1289062,0.2480469,-2.0410156
35.3379,0.6523438,-0.1445312,-0.0820312,0.5325317,-0.0034790,0.0462036,0.8451538,1.8984375,-0.9648438,-2.3789062
